S0_r1_b24 | tx=24.0 Gbits/sec | [  5]   0.00-12.00  sec  33.3 GBytes  23.9 Gbits/sec  0.001 ms  24485/4430808 (0.55%)  receiver
S0_r1_b28 | tx=28.0 Gbits/sec | [  5]   0.00-12.00  sec  15.5 GBytes  11.1 Gbits/sec  0.007 ms  3069150/5169248 (59%)  receiver
S0_r1_b32 | tx=32.0 Gbits/sec | [  5]   0.00-12.00  sec  18.6 GBytes  13.3 Gbits/sec  0.004 ms  3401038/5907720 (58%)  receiver
S0_r1_b36 | tx=36.0 Gbits/sec | [  5]   0.00-12.00  sec  22.0 GBytes  15.8 Gbits/sec  0.001 ms  3704874/6646304 (56%)  receiver
S0_r1_b40 | tx=40.0 Gbits/sec | [  5]   0.00-12.00  sec  23.5 GBytes  16.8 Gbits/sec  0.002 ms  4249204/7384584 (58%)  receiver
S0_r1_b50 | tx=50.0 Gbits/sec | [  5]   0.00-12.00  sec  22.3 GBytes  16.0 Gbits/sec  0.001 ms  6223963/9230896 (67%)  receiver
S0_r1_b60 | tx=59.7 Gbits/sec | [  5]   0.00-12.00  sec  25.3 GBytes  18.1 Gbits/sec  0.004 ms  7617814/11019704 (69%)  receiver
S0_r1_b0 | tx=81.6 Gbits/sec | [  5]   0.00-12.00  sec  12.6 GBytes  8.99 Gbits/sec  0.002 ms  13377959/15063712 (89%)  receiver
S1_r1_b24 | tx=24.0 Gbits/sec | [  5]   0.00-12.00  sec  33.5 GBytes  24.0 Gbits/sec  0.001 ms  0/4430784 (0%)  receiver
S1_r1_b28 | tx=28.0 Gbits/sec | [  5]   0.00-12.00  sec  39.1 GBytes  28.0 Gbits/sec  0.001 ms  0/5169272 (0%)  receiver
S1_r1_b32 | tx=32.0 Gbits/sec | [  5]   0.00-12.00  sec  44.7 GBytes  32.0 Gbits/sec  0.006 ms  0/5908128 (0%)  receiver
S1_r1_b36 | tx=36.0 Gbits/sec | [  5]   0.00-12.00  sec  34.6 GBytes  24.7 Gbits/sec  0.003 ms  1985031/6556144 (30%)  receiver
S1_r1_b40 | tx=29.4 Gbits/sec | [  5]   0.00-12.00  sec  41.0 GBytes  29.4 Gbits/sec  0.005 ms  0/5424656 (0%)  receiver
S1_r1_b50 | tx=50.0 Gbits/sec | [  5]   0.00-12.00  sec  26.2 GBytes  18.8 Gbits/sec  0.001 ms  5604261/9069792 (62%)  receiver
S1_r1_b60 | tx=60.0 Gbits/sec | [  5]   0.00-12.00  sec  24.0 GBytes  17.2 Gbits/sec  0.005 ms  7686553/10864600 (71%)  receiver
S1_r1_b0 | tx=82.0 Gbits/sec | [  5]   0.00-12.00  sec  13.5 GBytes  9.69 Gbits/sec  0.003 ms  12794690/14596840 (88%)  receiver
S2_r1_b24 | tx=24.0 Gbits/sec | [  5]   0.00-12.00  sec  33.5 GBytes  24.0 Gbits/sec  0.001 ms  0/4430784 (0%)  receiver
S2_r1_b28 | tx=28.0 Gbits/sec | [  5]   0.00-12.00  sec  39.1 GBytes  28.0 Gbits/sec  0.001 ms  0/5169248 (0%)  receiver
S2_r1_b32 | tx=29.4 Gbits/sec | [  5]   0.00-12.00  sec  41.0 GBytes  29.4 Gbits/sec  0.004 ms  0/5424344 (0%)  receiver
S2_r1_b36 | tx=36.0 Gbits/sec | [  5]   0.00-12.00  sec  36.3 GBytes  26.0 Gbits/sec  0.002 ms  1768219/6563624 (27%)  receiver
S2_r1_b40 | tx=40.0 Gbits/sec | [  5]   0.00-12.00  sec  35.1 GBytes  25.2 Gbits/sec  0.001 ms  2646926/7289560 (36%)  receiver
S2_r1_b50 | tx=50.0 Gbits/sec | [  5]   0.00-12.00  sec  31.3 GBytes  22.4 Gbits/sec  0.003 ms  4948937/9097720 (54%)  receiver
