== tcp_b20 ==
    33.77%  [k] copyout
     7.62%  [k] intel_idle
     4.65%  [k] mlx5e_add_skb_shared_info_frag.isra.0
     2.14%  [k] __skb_datagram_iter
     2.05%  [k] mlx5e_skb_from_cqe_mpwrq_nonlinear
     1.79%  [k] tasklet_action_common.isra.0
     1.30%  [k] __check_object_size
     1.23%  [k] _copy_to_iter
     1.15%  [k] napi_pp_put_page
     1.05%  [k] __napi_alloc_skb
     0.98%  [k] _raw_spin_lock
     0.92%  [k] skb_gro_receive
== udp_plain_b20 ==
    31.25%  [k] copyout
     3.77%  [k] mlx5e_add_skb_shared_info_frag.isra.0
     2.10%  [k] intel_idle
     1.95%  [k] mlx5e_skb_from_cqe_mpwrq_nonlinear
     1.78%  [k] __check_object_size
     1.71%  [.] read
     1.59%  [k] __skb_datagram_iter
     1.41%  [k] __siphash_unaligned
     1.30%  [.] iperf_udp_recv
     1.28%  [k] _copy_to_iter
     1.20%  [k] __napi_alloc_skb
     1.15%  [k] __nf_conntrack_find_get
== udp_gsogro_b20 ==
    31.47%  [k] copyout
    10.95%  [k] intel_idle
     3.46%  [k] mlx5e_add_skb_shared_info_frag.isra.0
     2.43%  [k] __skb_datagram_iter
     2.36%  [k] mlx5e_skb_from_cqe_mpwrq_nonlinear
     2.34%  [k] tasklet_action_common.isra.0
     1.83%  [k] napi_pp_put_page
     1.82%  [k] __check_object_size
     1.25%  [k] psi_group_change
     1.17%  [k] _copy_to_iter
     1.11%  [k] skb_gro_receive
     1.08%  [.] iperf_udp_recv
== udp_gsogro_b28 ==
    36.89%  [k] copyout
     5.51%  [k] intel_idle
     4.09%  [k] mlx5e_add_skb_shared_info_frag.isra.0
     2.53%  [k] __skb_datagram_iter
     2.44%  [k] mlx5e_skb_from_cqe_mpwrq_nonlinear
     1.93%  [k] __check_object_size
     1.85%  [k] tasklet_action_common.isra.0
     1.78%  [k] napi_pp_put_page
     1.45%  [.] iperf_udp_recv
     1.35%  [k] skb_gro_receive
     1.30%  [k] _copy_to_iter
     1.23%  [k] dev_gro_receive
